ReefID_Name,Ocean,Country,State.Province.Island,City.Town,Year,Date,Depth,Organism.Code
102.42.508E.5.57.143N | Sea Bell,Pacific,Malaysia,Terengannu,Perhentian Island,2008,5-Oct-08,5.0,Bleaching (% of population)
102.43.23.4E.5.55.53.7N | Pulau Perhentian Kecil/D'Lagoon,Pacific,Malaysia,Terengganu,Pulau Perhentian,2003,8-Jun-03,6.0,Bleaching (% of population)
102.43.23.4E.5.55.53.7N | Pulau Perhentian Kecil/D'Lagoon,Pacific,Malaysia,Terengganu,Pulau Perhentian,2003,8-Jun-03,10.3,Bleaching (% of population)
102.43.23.4E.5.55.53.7N | Pulau Perhentian Kecil/D'Lagoon,Pacific,Malaysia,Terengganu,Pulau Perhentian,2007,12-Apr-07,6.0,Bleaching (% of population)
102.43.23.4E.5.55.53.7N | Pulau Perhentian Kecil/D'Lagoon,Pacific,Malaysia,Terengganu,Pulau Perhentian,2007,29-Sep-07,6.0,Bleaching (% of population)
102.43.23.4E.5.55.53.7N | Pulau Perhentian Kecil/D'Lagoon,Pacific,Malaysia,Terengganu,Pulau Perhentian,2008,30-May-08,6.0,Bleaching (% of population)
102.43.29.1E.5.55.16.7N | Batu Nisan,Pacific,Malaysia,Terengganu,Perhentian Island,2007,12-Apr-07,6.0,Bleaching (% of population)
102.43.29.1E.5.55.16.7N | Batu Nisan,Pacific,Malaysia,Terengganu,Perhentian Island,2007,30-Sep-07,6.0,Bleaching (% of population)
102.43.29.1E.5.55.16.7N | Batu Nisan,Pacific,Malaysia,Terengganu,Perhentian Island,2008,31-May-08,5.1,Bleaching (% of population)
102.44.407E.5.54.208N | Coral View Reef,Pacific,Malaysia,Terengganu,Perhentian,2007,9-Jun-07,5.0,Bleaching (% of population)
102.45.30.3E.5.55.23.7N | Tokong Burung,Pacific,Malaysia,Terengganu,Perhentian Islands,2003,12-May-03,3.0,Bleaching (% of population)
102.45.30.3E.5.55.23.7N | Tokong Burung,Pacific,Malaysia,Terengganu,Perhentian Islands,2003,12-May-03,11.0,Bleaching (% of population)
102.45.498E.5.55.414N | Tanjung Besi,Pacific,Malaysia,Terengganu,Perhentian,2008,27-Sep-08,5.7,Bleaching (% of population)
102.59.31E.5.48.11N | NW Redang,Pacific,Malaysia,,,2004,28-Aug-04,10.6,Bleaching (% of population)
102.59.33E.5.46.25N | West Pinang/Tanjung Bakong,Pacific,Malaysia,,,2004,12-Jul-04,6.0,Bleaching (% of population)
102.59.50E.5.44.3N | East Pinang,Pacific,Malaysia,,,2004,12-Jul-04,6.0,Bleaching (% of population)
102.59.59.4E.5.44.48.9N | Pulau Pinang Marine Park/Marine Park Centre Jetty,Pacific,Malaysia,Terengganu,Redang Island,2007,21-Apr-07,5.5,Bleaching (% of population)
102.59.59.4E.5.44.48.9N | Pulau Pinang Marine Park/Marine Park Centre Jetty,Pacific,Malaysia,Terengganu,Redang Island,2007,1-Oct-07,5.0,Bleaching (% of population)
102.59.59.4E.5.44.48.9N | Pulau Pinang Marine Park/Marine Park Centre Jetty,Pacific,Malaysia,Terengganu,Redang Island,2008,27-Jun-08,5.0,Bleaching (% of population)
103.0.37.3E.5.49.3.58N | Chagar Hutang East,Pacific,Malaysia,Terengganu,Redang Island,2008,27-Jun-08,10.0,Bleaching (% of population)
103.01.41E.5.45.44N | Redang Kalong House Reef,Pacific,Malaysia,Terengganu,Pulau Redang,2003,25-Sep-03,5.0,Bleaching (% of population)
103.01.41E.5.45.44N | Redang Kalong House Reef,Pacific,Malaysia,Terengganu,Pulau Redang,2003,25-Sep-03,10.0,Bleaching (% of population)
"103.01.56.8E.05.45.59.3N | Pertigi Bay, Redang Island",Pacific,Malaysia,Terengganu,Kula Terengannu,2004,25-Sep-04,3.0,Bleaching (% of population)
"103.01.59.9E.05.46.28.1N | Tg Tengah Southside, Pasir Panjang, Redang Island",Pacific,Malaysia,Terengganu,Kula Terengannu,2004,23-Sep-04,3.2,Bleaching (% of population)
"103.02.0.9E.5.46.33N | Coral Resort House Reef, Redang Island",Pacific,Malaysia,Terengganu,Kula Terengannu,2004,23-Sep-04,3.0,Bleaching (% of population)
103.02.02E.5.46.38N | Coral Redang House Reef North,Pacific,Malaysia,Terengganu,Kuala Terengganu,2003,18-Oct-03,6.0,Bleaching (% of population)
103.02.04E.5.46.10N | Mini Mount,Pacific,Malaysia,Terengganu,Kuala Terengganu,2003,16-Oct-03,12.0,Bleaching (% of population)
103.02.08E.5.46.07N | Pulau Paku Kecil,Pacific,Malaysia,Terengganu,Kuala Terengganu,2003,17-Oct-03,12.0,Bleaching (% of population)
103.02.08E.5.46.58N | Pelangi House Reef South,Pacific,Malaysia,Terengganu,Kuala Terengganu,2003,18-Oct-03,7.0,Bleaching (% of population)
"103.03.08E.5.46.04N | Pulau Lima, Southern Tip",Pacific,Malaysia,Terengganu,Kuala Terengganu,2003,18-Oct-03,10.0,Bleaching (% of population)
"103.03.08E.5.46.04N | Pulau Lima, Southern Tip",Pacific,Malaysia,Terengganu,Kuala Terengganu,2003,18-Oct-03,12.0,Bleaching (% of population)
103.03.33E.5.46.26N | Black Coral Garden,Pacific,Malaysia,Terengganu,Pulau Redang,2003,25-Sep-03,6.0,Bleaching (% of population)
103.03.33E.5.46.26N | Black Coral Garden,Pacific,Malaysia,Terengganu,Pulau Redang,2003,25-Sep-03,12.0,Bleaching (% of population)
103.1.48E.5.45.19N | Palau Kerenga Kecil,Pacific,Malaysia,Terenggani,,2004,11-Jul-04,9.4,Bleaching (% of population)
103.1.48E.5.50.46N | Tanjung Teluk Nyato,Pacific,Malaysia,,,2004,29-Aug-04,8.7,Bleaching (% of population)
103.10.93.3E.10.50.20.1N | Koh Mano (channel),Indian,Cambodia,Koh Kong,,2003,22-Feb-03,2.0,Bleaching (% of population)
103.17.41.57E.10.37.23.01N | Fishing Bay,Pacific,Cambodia,Sihanoukville,Koh Rong Saloem,2009,26-Jul-09,3.0,Bleaching (% of population)
103.2.20.5E.5.46.18.1N | Pulau Paku Kecil SW,Pacific,Malaysia,Terengganu,Redang Island,2007,20-Apr-07,10.0,Bleaching (% of population)
103.2.20.5E.5.46.18.1N | Pulau Paku Kecil SW,Pacific,Malaysia,Terengganu,Redang Island,2007,1-Oct-07,11.0,Bleaching (% of population)
103.2.20.5E.5.46.18.1N | Pulau Paku Kecil SW,Pacific,Malaysia,Terengganu,Redang Island,2008,30-Mar-08,8.0,Bleaching (% of population)
103.2.20.5E.5.46.18.1N | Pulau Paku Kecil SW,Pacific,Malaysia,Terengganu,Redang Island,2008,20-Jun-08,11.0,Bleaching (% of population)
103.3.32.8E.5.46.18.1N | Pulau Lima Southern Tip,Pacific,Malaysia,Terengganu,Redang Island,2007,21-Apr-07,10.0,Bleaching (% of population)
103.3.32.8E.5.46.18.1N | Pulau Lima Southern Tip,Pacific,Malaysia,Terengganu,Redang Island,2007,1-Oct-07,10.0,Bleaching (% of population)
103.3.32.8E.5.46.18.1N | Pulau Lima Southern Tip,Pacific,Malaysia,Terengganu,Redang Island,2008,28-Jun-08,5.5,Bleaching (% of population)
103.30.0E.5.44.19N | East Palau Pinang,Pacific,Malaysia,,,2004,13-Jul-04,10.0,Bleaching (% of population)
"103.40.706E.4.48.456N | Fresh Water Bay, Tenggol",Pacific,Malaysia,Terengganu,Tenggol Island,2007,10-Apr-07,6.0,Bleaching (% of population)
103.47.0E.5.44.56N | South Pinang,Pacific,Malaysia,,,2004,14-Aug-04,11.2,Bleaching (% of population)
103.48.32E.10.21.33N | PQO02,Pacific,Vietnam,Kiengiang,Phuquoc,2006,16-May-06,5.5,Bleaching (% of population)
103.48.46E.10.22.22N | PQO01,Pacific,Vietnam,Kiengiang,Phuquoc,2006,16-May-06,5.7,Bleaching (% of population)
103.5.12.2E.11.3.7.3N | Koh Krosa Khnong,Indian,Cambodia,Koh Kong,,2003,26-Feb-03,4.5,Bleaching (% of population)
103.50.31E.10.19.21N | PQO03,Pacific,Vietnam,Kiengiang,Phuquoc,2006,16-May-06,2.5,Bleaching (% of population)
103.50.31E.10.19.21N | PQO03,Pacific,Vietnam,Kiengiang,Phuquoc,2006,16-May-06,5.5,Bleaching (% of population)
103.51.46E.10.17.56N | PQO04,Pacific,Vietnam,Kiengiang,Phuquoc,2006,15-May-06,2.5,Bleaching (% of population)
103.51.46E.10.17.56N | PQO04,Pacific,Vietnam,Kiengiang,Phuquoc,2006,15-May-06,6.0,Bleaching (% of population)
103.53.11E.10.17.28N | PQO05,Pacific,Vietnam,Kiengiang,Phuquoc,2006,15-May-06,2.5,Bleaching (% of population)
103.53.11E.10.17.28N | PQO05,Pacific,Vietnam,Kiengiang,Phuquoc,2006,15-May-06,6.0,Bleaching (% of population)
"103.55.505E.2.32.668N | Turtle Bay, Tenggol",Pacific,Malaysia,Terengganu,Tenggol Island,2007,9-Apr-07,6.0,Bleaching (% of population)
103.58.44E.09.55.04N | PQO12/Phu Quoc Site 9,Pacific,Vietnam,Kiengiang,Phuquoc,2006,4-May-06,4.7,Bleaching (% of population)
103.58.56E.09.55.13N | PQO13,Pacific,Vietnam,Kiengiang,Phuquoc,2006,4-May-06,4.7,Bleaching (% of population)
103.59.32E.09.54.33N | PQO17,Pacific,Vietnam,Kiengiang,Phuquoc,2006,8-May-06,2.5,Bleaching (% of population)
103.59.32E.09.54.33N | PQO17,Pacific,Vietnam,Kiengiang,Phuquoc,2006,8-May-06,6.7,Bleaching (% of population)
103.59.34E.09.54.48N | PQO16/Phu Quoc Site 7,Pacific,Vietnam,Kiengiang,Phuquoc,2006,11-May-06,2.2,Bleaching (% of population)
103.59.34E.09.54.48N | PQO16/Phu Quoc Site 7,Pacific,Vietnam,Kiengiang,Phuquoc,2006,11-May-06,4.2,Bleaching (% of population)
103.59.51E.09.55.19N | PQO14,Pacific,Vietnam,Kiengiang,Phuquoc,2006,10-May-06,3.5,Bleaching (% of population)
103.59.51E.09.55.19N | PQO14,Pacific,Vietnam,Kiengiang,Phuquoc,2006,10-May-06,7.0,Bleaching (% of population)
104.0.34E.10.0.01N | PQO07,Pacific,Vietnam,Kiengiang,Phuquoc,2006,17-May-06,4.7,Bleaching (% of population)
104.0.40E.09.58.09N | PQO09,Pacific,Vietnam,Kiengiang,Phuquoc,2006,7-May-06,2.2,Bleaching (% of population)
104.0.40E.09.58.09N | PQO09,Pacific,Vietnam,Kiengiang,Phuquoc,2006,7-May-06,6.2,Bleaching (% of population)
104.0.42E.09.57.24N | PQO10,Pacific,Vietnam,Kiengiang,Phuquoc,2006,5-May-06,2.8,Bleaching (% of population)
104.0.42E.09.57.24N | PQO10,Pacific,Vietnam,Kiengiang,Phuquoc,2006,5-May-06,6.0,Bleaching (% of population)
104.01.01E.09.54.52N | PQO18,Pacific,Vietnam,Kiengiang,Phuquoc,2006,2-May-06,2.5,Bleaching (% of population)
104.01.01E.09.54.52N | PQO18,Pacific,Vietnam,Kiengiang,Phuquoc,2006,2-May-06,5.7,Bleaching (% of population)
104.01.11E.09.55.16N | PQO11,Pacific,Vietnam,Kiengiang,Phuquoc,2006,14-May-06,3.0,Bleaching (% of population)
104.01.11E.09.55.16N | PQO11,Pacific,Vietnam,Kiengiang,Phuquoc,2006,14-May-06,5.2,Bleaching (% of population)
104.01.13E.09.55.07N | PQO19,Pacific,Vietnam,Kiengiang,Phuquoc,2006,14-May-06,2.7,Bleaching (% of population)
104.01.13E.09.55.07N | PQO19,Pacific,Vietnam,Kiengiang,Phuquoc,2006,14-May-06,6.0,Bleaching (% of population)
104.01.15E.09.54.23N | PQO20/Phu Quoc Site 10,Pacific,Vietnam,Kiengiang,Phuquoc,2006,9-May-06,3.7,Bleaching (% of population)
104.01.15E.09.54.23N | PQO20/Phu Quoc Site 10,Pacific,Vietnam,Kiengiang,Phuquoc,2006,9-May-06,7.7,Bleaching (% of population)
104.01.43E.10.00.17N | PQO06/Phu Quoc Site 1,Pacific,Vietnam,Kiengiang,Phuquoc,2006,6-May-06,2.2,Bleaching (% of population)
104.01.43E.10.00.17N | PQO06/Phu Quoc Site 1,Pacific,Vietnam,Kiengiang,Phuquoc,2006,6-May-06,5.5,Bleaching (% of population)
104.02.21E.09.59.41N | PQO08,Pacific,Vietnam,Kiengiang,Phuquoc,2006,17-May-06,3.5,Bleaching (% of population)
104.09.26.6E.2.49.27N | Pirates Reef,Pacific,Malaysia,Pahang,Tioman Island,2004,16-Apr-04,7.0,Bleaching (% of population)
104.09.26.6E.2.49.27N | Pirates Reef,Pacific,Malaysia,Pahang,Tioman Island,2006,22-Apr-06,9.0,Bleaching (% of population)
104.09.26.6E.2.49.27N | Pirates Reef,Pacific,Malaysia,Pahang,Tioman Island,2007,20-Apr-07,8.0,Bleaching (% of population)
104.09.26.6E.2.49.27N | Pirates Reef,Pacific,Malaysia,Pahang,Tioman Island,2007,24-Aug-07,7.0,Bleaching (% of population)
104.09.26.6E.2.49.27N | Pirates Reef,Pacific,Malaysia,Pahang,Tioman Island,2007,17-Oct-07,8.0,Bleaching (% of population)
104.09.26.6E.2.49.27N | Pirates Reef,Pacific,Malaysia,Pahang,Tioman Island,2008,15-Mar-08,6.0,Bleaching (% of population)
104.09.26.6E.2.49.27N | Pirates Reef,Pacific,Malaysia,Pahang,Tioman Island,2008,16-Aug-08,8.0,Bleaching (% of population)
104.09.26.6E.2.49.27N | Pirates Reef,Pacific,Malaysia,Pahang,Tioman Island,2008,18-Sep-08,8.0,Bleaching (% of population)
104.09.26.6E.2.49.27N | Pirates Reef,Pacific,Malaysia,Pahang,Tioman Island,2008,18-Oct-08,6.5,Bleaching (% of population)
104.29.929E.2.28.223N | Pulau Lang (off Pulau Aur),Pacific,Malaysia,Johor,Pulau Aur,2006,28-Oct-06,5.0,Bleaching (% of population)
104.29.929E.2.28.223N | Pulau Lang (off Pulau Aur),Pacific,Malaysia,Johor,Pulau Aur,2006,28-Oct-06,10.0,Bleaching (% of population)
104.29.929E.2.28.223N | Pulau Lang (off Pulau Aur),Pacific,Malaysia,Johor,Pulau Aur,2006,29-Oct-06,10.0,Bleaching (% of population)
104.6.148E.2.54.139N | Malang Rock,Pacific,Malaysia,Pahang,Tioman,2007,21-Apr-07,8.0,Bleaching (% of population)
104.6.148E.2.54.139N | Malang Rock,Pacific,Malaysia,Pahang,Tioman,2007,15-Sep-07,7.5,Bleaching (% of population)
104.6.148E.2.54.139N | Malang Rock,Pacific,Malaysia,Pahang,Tioman,2008,19-Apr-08,7.0,Bleaching (% of population)
104.6.148E.2.54.139N | Malang Rock,Pacific,Malaysia,Pahang,Tioman,2008,18-Jul-08,7.0,Bleaching (% of population)
104.6.507E.2.54.891N | Kador Bay/Teluk Kador,Pacific,Malaysia,Pahang,Tioman,2007,21-Apr-07,8.0,Bleaching (% of population)
104.6.507E.2.54.891N | Kador Bay/Teluk Kador,Pacific,Malaysia,Pahang,Tioman,2007,15-Sep-07,7.5,Bleaching (% of population)
104.6.507E.2.54.891N | Kador Bay/Teluk Kador,Pacific,Malaysia,Pahang,Tioman,2008,19-Apr-08,6.5,Bleaching (% of population)
104.6.507E.2.54.891N | Kador Bay/Teluk Kador,Pacific,Malaysia,Pahang,Tioman,2008,7-Jun-08,6.4,Bleaching (% of population)
104.8.19E.2.48.60N | Renggis North Side,Pacific,Malaysia,Pahang,Tioman Island,2006,23-Apr-06,6.0,Bleaching (% of population)
104.8.7.5E.2.48.33.7N | Renggis Island North Side,Pacific,Malaysia,Pahang,Tioman Island,2007,20-Apr-07,8.0,Bleaching (% of population)
104.8.7.5E.2.48.33.7N | Renggis Island North Side,Pacific,Malaysia,Pahang,Tioman Island,2007,16-Sep-07,7.0,Bleaching (% of population)
104.8.7.5E.2.48.33.7N | Renggis Island North Side,Pacific,Malaysia,Pahang,Tioman Island,2008,20-Jul-08,7.0,Bleaching (% of population)
104.8.7.5E.2.48.33.7N | Renggis Island North Side,Pacific,Malaysia,Pahang,Tioman Island,2008,18-Sep-08,7.0,Bleaching (% of population)
104.8.7.5E.2.48.33.7N | Renggis Island North Side,Pacific,Malaysia,Pahang,Tioman Island,2008,19-Oct-08,7.0,Bleaching (% of population)
104.8.8.2E.2.48.37.7N | Renggis Island South Side,Pacific,Malaysia,Pahang,Tioman Island,2007,25-Jul-07,6.0,Bleaching (% of population)
104.8.8.2E.2.48.37.7N | Renggis Island South Side,Pacific,Malaysia,Pahang,Tioman Island,2007,15-Sep-07,7.3,Bleaching (% of population)
104.9.3.2E.2.49.0.1N | Soyak Island,Pacific,Malaysia,Pahang,Tioman,2007,25-Jul-07,5.0,Bleaching (% of population)
104.9.3.2E.2.49.0.1N | Soyak Island,Pacific,Malaysia,Pahang,Tioman,2007,20-Oct-07,6.0,Bleaching (% of population)
104.9.3.2E.2.49.0.1N | Soyak Island,Pacific,Malaysia,Pahang,Tioman,2008,18-Sep-08,7.0,Bleaching (% of population)
104.9.6.6E.2.48.54.1N | Terek House Reef,Pacific,Malaysia,Pahang,Tioman,2007,24-Jul-07,4.0,Bleaching (% of population)
104.9.6.6E.2.48.54.1N | Terek House Reef,Pacific,Malaysia,Pahang,Tioman,2008,26-Feb-08,4.5,Bleaching (% of population)
104.9.6.6E.2.48.54.1N | Terek House Reef,Pacific,Malaysia,Pahang,Tioman,2008,16-Aug-08,6.0,Bleaching (% of population)
105.40.2.1E.10.25.45.3S | Flying Fish Cove,Indian,Australia,West Australia,Christmas Island,2003,29-Oct-03,3.5,Bleaching (% of population)
105.40.2.1E.10.25.45.3S | Flying Fish Cove,Indian,Australia,West Australia,Christmas Island,2003,29-Oct-03,6.5,Bleaching (% of population)
105.40.2.1E.10.25.45.3S | Flying Fish Cove,Indian,Australia,West Australia,Christmas Island,2004,24-Sep-04,3.5,Bleaching (% of population)
105.40.2.1E.10.25.45.3S | Flying Fish Cove,Indian,Australia,West Australia,Christmas Island,2004,24-Sep-04,7.0,Bleaching (% of population)
105.40.2.1E.10.25.45.3S | Flying Fish Cove,Indian,Australia,West Australia,Christmas Island,2005,10-Oct-05,4.0,Bleaching (% of population)
105.40.2.1E.10.25.45.3S | Flying Fish Cove,Indian,Australia,West Australia,Christmas Island,2005,10-Oct-05,6.0,Bleaching (% of population)
105.40.2.1E.10.25.45.3S | Flying Fish Cove,Indian,Australia,West Australia,Christmas Island,2006,30-Oct-06,8.0,Bleaching (% of population)
105.40.2.1E.10.25.45.3S | Flying Fish Cove,Indian,Australia,West Australia,Christmas Island,2006,31-Oct-06,4.0,Bleaching (% of population)
105.40.2.1E.10.25.45.3S | Flying Fish Cove,Indian,Australia,West Australia,Christmas Island,2007,19-Sep-07,4.0,Bleaching (% of population)
105.40.2.1E.10.25.45.3S | Flying Fish Cove,Indian,Australia,West Australia,Christmas Island,2007,20-Sep-07,8.0,Bleaching (% of population)
105.41.6.4E.10.24.55.5S | Chicken Farm,Indian,Australia,West Australia,Christmas Island,2003,27-Oct-03,6.0,Bleaching (% of population)
105.41.6.4E.10.24.55.5S | Chicken Farm,Indian,Australia,West Australia,Christmas Island,2003,27-Oct-03,11.0,Bleaching (% of population)
105.41.6.4E.10.24.55.5S | Chicken Farm,Indian,Australia,West Australia,Christmas Island,2004,14-Oct-04,5.5,Bleaching (% of population)
105.41.6.4E.10.24.55.5S | Chicken Farm,Indian,Australia,West Australia,Christmas Island,2004,14-Oct-04,10.5,Bleaching (% of population)
105.41.6.4E.10.24.55.5S | Chicken Farm,Indian,Australia,West Australia,Christmas Island,2005,12-Oct-05,6.0,Bleaching (% of population)
105.41.6.4E.10.24.55.5S | Chicken Farm,Indian,Australia,West Australia,Christmas Island,2005,12-Oct-05,10.0,Bleaching (% of population)
105.41.6.4E.10.24.55.5S | Chicken Farm,Indian,Australia,West Australia,Christmas Island,2006,10-Oct-06,6.0,Bleaching (% of population)
105.41.6.4E.10.24.55.5S | Chicken Farm,Indian,Australia,West Australia,Christmas Island,2006,11-Oct-06,10.0,Bleaching (% of population)
105.41.6.4E.10.24.55.5S | Chicken Farm,Indian,Australia,West Australia,Christmas Island,2007,23-Sep-07,4.0,Bleaching (% of population)
