Reef_info,Lat_Long,Location,Year_Date,Depth_and_Org,Segment_counts,Errors?,What errors?
61.0055W.13.7515N | Flat Land (Laborie),"13.0,45.0,5.4,N | 61.0,0.0,19.8,W",St Lucia / nan / Laborie / Atlantic,2003:25-Mar-03,2.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
61.0055W.13.7515N | Flat Land (Laborie),"13.0,45.0,5.4,N | 61.0,0.0,19.8,W",St Lucia / nan / Laborie / Atlantic,2003:25-Mar-03,2.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
61.0755W.13.8100N | Coral Gardens,"13.0,48.0,36.0,N | 61.0,4.0,31.8,W",St Lucia / nan / Soufriere / Atlantic,2003:27-Feb-03,3.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
61.0755W.13.8100N | Coral Gardens,"13.0,48.0,36.0,N | 61.0,4.0,31.8,W",St Lucia / nan / Soufriere / Atlantic,2003:27-Feb-03,10.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
61.0755W.13.8100N | Coral Gardens,"13.0,48.0,36.0,N | 61.0,4.0,31.8,W",St Lucia / nan / Soufriere / Atlantic,2003:27-Feb-03,3.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
61.0755W.13.8100N | Coral Gardens,"13.0,48.0,36.0,N | 61.0,4.0,31.8,W",St Lucia / nan / Soufriere / Atlantic,2003:27-Feb-03,10.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
61.08011W.13.8600N | Turtle Reef,"13.0,51.0,36.0,N | 61.0,4.0,48.0,W",St Lucia / Soufriere / nan / Atlantic,2003:13-Mar-03,10.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
61.08011W.13.8600N | Turtle Reef,"13.0,51.0,36.0,N | 61.0,4.0,48.0,W",St Lucia / Soufriere / nan / Atlantic,2003:13-Mar-03,10.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
61.4.80W.13.51.84N | Anse Chastanet Reef,"13.0,51.0,50.4,N | 61.0,4.0,48.0,W",St Lucia / nan / Soufriere Marine Management Area / Atlantic,2003:5-Mar-03,3.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
61.4.80W.13.51.84N | Anse Chastanet Reef,"13.0,51.0,50.4,N | 61.0,4.0,48.0,W",St Lucia / nan / Soufriere Marine Management Area / Atlantic,2003:5-Mar-03,10.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
61.4.80W.13.51.84N | Anse Chastanet Reef,"13.0,51.0,50.4,N | 61.0,4.0,48.0,W",St Lucia / nan / Soufriere Marine Management Area / Atlantic,2003:5-Mar-03,3.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
61.4.80W.13.51.84N | Anse Chastanet Reef,"13.0,51.0,50.4,N | 61.0,4.0,48.0,W",St Lucia / nan / Soufriere Marine Management Area / Atlantic,2003:5-Mar-03,10.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
63.24.47E.19.40.06N | Passe Armand,"19.0,40.0,6.0,S | 63.0,24.0,47.0,E",Mauritius / Rodrigues / Pt. Monier / Indian,2003:7-Jun-03,12.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
63.24.47E.19.40.06N | Passe Armand,"19.0,40.0,6.0,S | 63.0,24.0,47.0,E",Mauritius / Rodrigues / Pt. Monier / Indian,2003:7-Jun-03,12.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
63.26.235E.19.39.662S | Patte Cappor,"19.0,39.0,39.7,S | 63.0,26.0,14.1,E",Mauritius / Rodrigues / Port Mathurin / Indian,2003:8-Jun-03,6.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
63.26.235E.19.39.662S | Patte Cappor,"19.0,39.0,39.7,S | 63.0,26.0,14.1,E",Mauritius / Rodrigues / Port Mathurin / Indian,2003:8-Jun-03,6.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
"68.53.42W.12.05.16N | Curacao Sea Aquarium House Reef, Plot A #1","12.0,4.0,59.6,N | 68.0,53.0,49.5,W",Netherlands Antilles / Curacao / Bapor Kibra / Atlantic,2003:23-Jan-03,4.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
"68.53.42W.12.05.16N | Curacao Sea Aquarium House Reef, Plot A #1","12.0,4.0,59.6,N | 68.0,53.0,49.5,W",Netherlands Antilles / Curacao / Bapor Kibra / Atlantic,2003:23-Jan-03,4.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
81.10.59E.8.44.2N | Coral Island,"8.0,44.0,12.0,N | 81.0,10.0,35.4,E",Sri Lanka / Eastern / Nilaveli / Indian,2003:25-Sep-03,2.5-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
81.10.59E.8.44.2N | Coral Island,"8.0,44.0,12.0,N | 81.0,10.0,35.4,E",Sri Lanka / Eastern / Nilaveli / Indian,2003:25-Sep-03,3.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
81.10.59E.8.44.2N | Coral Island,"8.0,44.0,12.0,N | 81.0,10.0,35.4,E",Sri Lanka / Eastern / Nilaveli / Indian,2003:25-Sep-03,2.5-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
81.10.59E.8.44.2N | Coral Island,"8.0,44.0,12.0,N | 81.0,10.0,35.4,E",Sri Lanka / Eastern / Nilaveli / Indian,2003:25-Sep-03,3.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
81.12.197E.8.43.238N | Pigeon Island,"8.0,43.0,14.3,N | 81.0,12.0,11.8,E",Sri Lanka / Eastern / Nilaveli / Indian,2003:25-Sep-03,3.5-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
81.12.197E.8.43.238N | Pigeon Island,"8.0,43.0,14.3,N | 81.0,12.0,11.8,E",Sri Lanka / Eastern / Nilaveli / Indian,2003:25-Sep-03,3.5-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
81.14.373E.8.34.404N | Dutch Bay,"8.0,34.0,24.2,N | 81.0,14.0,22.4,E",Sri Lanka / Eastern / Trincomalee / Indian,2003:28-Sep-03,3.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
81.14.373E.8.34.404N | Dutch Bay,"8.0,34.0,24.2,N | 81.0,14.0,22.4,E",Sri Lanka / Eastern / Trincomalee / Indian,2003:28-Sep-03,3.5-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
81.14.373E.8.34.404N | Dutch Bay,"8.0,34.0,24.2,N | 81.0,14.0,22.4,E",Sri Lanka / Eastern / Trincomalee / Indian,2003:28-Sep-03,3.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
81.14.373E.8.34.404N | Dutch Bay,"8.0,34.0,24.2,N | 81.0,14.0,22.4,E",Sri Lanka / Eastern / Trincomalee / Indian,2003:28-Sep-03,3.5-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
85.55.286W.16.28.725N | Wonderful Reef,"16.0,28.0,43.5,N | 85.0,55.0,17.2,W",Honduras / Bay Islands / Guanaja / Atlantic,2003:23-Apr-03,10.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
85.55.286W.16.28.725N | Wonderful Reef,"16.0,28.0,43.5,N | 85.0,55.0,17.2,W",Honduras / Bay Islands / Guanaja / Atlantic,2003:23-Apr-03,10.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
96.53.502E.12.06.225S | Prison Gardens,"12.0,6.0,13.5,S | 96.0,53.0,30.1,E",Australia / Cocos (Keeling) Islands / nan / Indian,2003:20-May-03,10.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
96.50.36E.12.05.41S | Cabbage Patch (10m),"12.0,5.0,41.0,S | 96.0,50.0,36.0,E",Australia / Cocos (Keeling) Islands / nan / Indian,1998:23-Aug-98,10.0-Bleaching (% of population),S1=25.0; S2=0.0; S3=10.0; S4=0.0,False,
059.38W.13.11N | Folkestone Marine Park,"13.0,11.0,28.3,N | 59.0,38.0,27.6,W",Barbados / St James / Holetown / Atlantic,2005:16-Jan-05,4.0-Bleaching (% of colony),S1=10.0; S2=10.0; S3=0.0; S4=0.0,True,no seconds for coordinates
059.38W.13.11N | Folkestone Marine Park,"13.0,11.0,28.3,N | 59.0,38.0,27.6,W",Barbados / St James / Holetown / Atlantic,2005:16-Jan-05,4.0-Bleaching (% of population),S1=2.0; S2=5.0; S3=0.0; S4=0.0,True,no seconds for coordinates
100.20.32.4E.0.59.32.6S | Pisang Gadang Island,"0.0,59.0,32.6,S | 100.0,20.0,32.4,E",Indonesia / Sumatra Barat / Padang / Pacific,2005:25-Dec-05,3.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
100.20.32.4E.0.59.32.6S | Pisang Gadang Island,"0.0,59.0,32.6,S | 100.0,20.0,32.4,E",Indonesia / Sumatra Barat / Padang / Pacific,2005:25-Dec-05,3.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
100.21.24.8E.0.7.56.3S | Sironjong Island,"0.0,7.0,56.3,S | 100.0,21.0,24.8,E",Indonesia / Sumatra Barat / Padang / Pacific,2005:25-Dec-05,3.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
100.21.24.8E.0.7.56.3S | Sironjong Island,"0.0,7.0,56.3,S | 100.0,21.0,24.8,E",Indonesia / Sumatra Barat / Padang / Pacific,2005:25-Dec-05,3.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
100.59.10.76E.12.57.45.55N | Leum Island (Ko Luam),"12.0,57.0,45.6,N | 100.0,39.0,10.8,E",Thailand / Cholburi / Pattaya / Indian,2003:1-Nov-03,3.9-Bleaching (% of colony),S1=0.0; S2=1.0; S3=1.0; S4=0.0,False,
100.59.10.76E.12.57.45.55N | Leum Island (Ko Luam),"12.0,57.0,45.6,N | 100.0,39.0,10.8,E",Thailand / Cholburi / Pattaya / Indian,2003:1-Nov-03,3.9-Bleaching (% of population),S1=0.0; S2=1.0; S3=1.0; S4=0.0,False,
102.17.0E.11.56.43N | Hin Luk Bat,"11.0,56.0,43.0,N | 102.0,17.0,0.0,E",Thailand / Trat / Koh Chang / Pacific,2006:13-Nov-06,12.0-Bleaching (% of colony),S1=1.0; S2=0.0; S3=0.0; S4=0.0,False,
102.17.0E.11.56.43N | Hin Luk Bat,"11.0,56.0,43.0,N | 102.0,17.0,0.0,E",Thailand / Trat / Koh Chang / Pacific,2006:13-Nov-06,12.0-Bleaching (% of population),S1=1.0; S2=0.0; S3=0.0; S4=0.0,False,
102.17.15E.11.56.42N | Hin Luk Bat,"11.0,56.0,42.0,N | 102.0,17.0,15.0,E","Thailand / Koh Chang, Trat / Hin Luk Bat / Pacific",2006:18-Mar-06,10.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
102.17.15E.11.56.42N | Hin Luk Bat,"11.0,56.0,42.0,N | 102.0,17.0,15.0,E","Thailand / Koh Chang, Trat / Hin Luk Bat / Pacific",2006:18-Mar-06,10.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
102.22.711E.11.48.310N | Koh Tien/Koh Thain West,"11.0,48.0,18.6,N | 102.0,22.0,42.7,E",Thailand / Trat / Koh Chang / Pacific,2007:15-Jun-07,5.0-Bleaching (% of colony),S1=30.0; S2=45.0; S3=50.0; S4=40.0,False,
102.22.711E.11.48.310N | Koh Tien/Koh Thain West,"11.0,48.0,18.6,N | 102.0,22.0,42.7,E",Thailand / Trat / Koh Chang / Pacific,2007:15-Jun-07,5.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
102.22.711E.11.48.310N | Koh Tien/Koh Thain West,"11.0,48.0,18.6,N | 102.0,22.0,42.7,E",Thailand / Trat / Koh Chang / Pacific,2008:10-Jan-08,4.5-Bleaching (% of colony),S1=20.0; S2=25.0; S3=30.0; S4=0.0,False,
102.22.711E.11.48.310N | Koh Tien/Koh Thain West,"11.0,48.0,18.6,N | 102.0,22.0,42.7,E",Thailand / Trat / Koh Chang / Pacific,2008:10-Jan-08,4.5-Bleaching (% of population),S1=1.0; S2=0.0; S3=1.0; S4=0.0,False,
102.23.0E.11.47.25N | Koh Mapring,"11.0,47.0,25.0,N | 102.0,23.0,0.0,E",Thailand / Trat / Koh Chang / Pacific,2006:28-Nov-06,4.0-Bleaching (% of colony),S1=30.0; S2=20.0; S3=30.0; S4=0.0,False,
102.23.0E.11.47.25N | Koh Mapring,"11.0,47.0,25.0,N | 102.0,23.0,0.0,E",Thailand / Trat / Koh Chang / Pacific,2006:28-Nov-06,4.0-Bleaching (% of population),S1=1.0; S2=1.0; S3=1.0; S4=0.0,False,
102.23.20E.11.47.50N | Koh Kra,"11.0,47.0,50.0,N | 102.0,23.0,20.0,E",Thailand / Trat / Koh Chang / Pacific,2006:14-Nov-06,3.6-Bleaching (% of colony),S1=1.0; S2=0.0; S3=0.0; S4=0.0,False,
102.23.20E.11.47.50N | Koh Kra,"11.0,47.0,50.0,N | 102.0,23.0,20.0,E",Thailand / Trat / Koh Chang / Pacific,2006:14-Nov-06,3.6-Bleaching (% of population),S1=1.0; S2=0.0; S3=0.0; S4=0.0,False,
102.23.36E.11.47.2N | Koh Yak Lek,"11.0,47.0,2.0,N | 102.0,23.0,36.0,E",Thailand / Trat / Koh Chang / Pacific,2006:10-Nov-06,7.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
102.23.36E.11.47.2N | Koh Yak Lek,"11.0,47.0,2.0,N | 102.0,23.0,36.0,E",Thailand / Trat / Koh Chang / Pacific,2006:10-Nov-06,7.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
102.23.784E.11.47.244N | Koh Yak,"11.0,47.0,14.6,N | 102.0,23.0,47.0,E",Thailand / Trat / Koh Chang / Pacific,2007:15-Jun-07,4.0-Bleaching (% of colony),S1=0.0; S2=2.0; S3=0.0; S4=0.0,False,
102.23.784E.11.47.244N | Koh Yak,"11.0,47.0,14.6,N | 102.0,23.0,47.0,E",Thailand / Trat / Koh Chang / Pacific,2007:15-Jun-07,4.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
102.24.173E.11.49.108N | Koh Thong Lang,"11.0,49.0,6.5,N | 102.0,24.0,10.4,E",Thailand / Trat / Koh Chang / Pacific,2007:14-Jun-07,3.5-Bleaching (% of colony),S1=10.0; S2=0.0; S3=10.0; S4=0.0,False,
102.24.173E.11.49.108N | Koh Thong Lang,"11.0,49.0,6.5,N | 102.0,24.0,10.4,E",Thailand / Trat / Koh Chang / Pacific,2007:14-Jun-07,3.5-Bleaching (% of population),S1=5.0; S2=5.0; S3=5.0; S4=5.0,False,
102.24.4E.11.49.13N | Koh Yak Yai,"11.0,49.0,13.0,N | 102.0,24.0,4.0,E",Thailand / Trat / Koh Chang / Pacific,2006:11-Dec-06,3.5-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
102.24.4E.11.49.13N | Koh Yak Yai,"11.0,49.0,13.0,N | 102.0,24.0,4.0,E",Thailand / Trat / Koh Chang / Pacific,2006:11-Dec-06,3.5-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
102.24.9E.11.49.13N | Koh Thong Lang,"11.0,49.0,13.0,N | 102.0,24.0,9.0,E",Thailand / Trat / Koh Chang / Pacific,2006:10-Nov-06,4.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
102.24.9E.11.49.13N | Koh Thong Lang,"11.0,49.0,13.0,N | 102.0,24.0,9.0,E",Thailand / Trat / Koh Chang / Pacific,2006:10-Nov-06,4.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
102.26.50E.11.49.23N | Koh Lom,"11.0,49.0,23.0,N | 102.0,26.0,50.0,E",Thailand / Trat / Koh Chang / Pacific,2006:27-Nov-06,4.3-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
102.26.50E.11.49.23N | Koh Lom,"11.0,49.0,23.0,N | 102.0,26.0,50.0,E",Thailand / Trat / Koh Chang / Pacific,2006:27-Nov-06,4.3-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
102.27.18.6E.11.53.3N | Ko Bai Dang,"11.0,53.0,3.0,N | 102.0,27.0,18.6,E","Thailand / Koh Chang, Trat / Ko Bai Dang / Pacific",2006:19-Mar-06,3.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
102.27.18.6E.11.53.3N | Ko Bai Dang,"11.0,53.0,3.0,N | 102.0,27.0,18.6,E","Thailand / Koh Chang, Trat / Ko Bai Dang / Pacific",2006:19-Mar-06,3.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
102.28.17E.11.54.4N | Hin Bai Dang,"11.0,54.0,4.0,N | 102.0,28.0,17.0,E",Thailand / Trat / Koh Chang / Pacific,2006:12-Nov-06,7.0-Bleaching (% of colony),S1=1.0; S2=1.0; S3=1.0; S4=1.0,False,
102.28.17E.11.54.4N | Hin Bai Dang,"11.0,54.0,4.0,N | 102.0,28.0,17.0,E",Thailand / Trat / Koh Chang / Pacific,2006:12-Nov-06,7.0-Bleaching (% of population),S1=1.0; S2=1.0; S3=1.0; S4=1.0,False,
102.32.40E.11.45.18N | Koh Kood,"11.0,45.0,18.0,N | 102.0,32.0,40.0,E",Thailand / Trat / Koh Chang / Pacific,2006:8-Dec-06,5.5-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
102.32.40E.11.45.18N | Koh Kood,"11.0,45.0,18.0,N | 102.0,32.0,40.0,E",Thailand / Trat / Koh Chang / Pacific,2006:8-Dec-06,5.5-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
102.40.2.9E.5.56.28.4N | Pulau Susu Dara Besar,"5.0,56.0,28.4,N | 102.0,40.0,2.9,E",Malaysia / Terengganu / Perhentian Islands / Pacific,2003:20-May-03,6.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=25.0; S4=50.0,False,
102.40.2.9E.5.56.28.4N | Pulau Susu Dara Besar,"5.0,56.0,28.4,N | 102.0,40.0,2.9,E",Malaysia / Terengganu / Perhentian Islands / Pacific,2003:20-May-03,7.6-Bleaching (% of colony),S1=50.0; S2=0.0; S3=65.0; S4=25.0,False,
102.40.2.9E.5.56.28.4N | Pulau Susu Dara Besar,"5.0,56.0,28.4,N | 102.0,40.0,2.9,E",Malaysia / Terengganu / Perhentian Islands / Pacific,2003:20-May-03,6.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=2.0; S4=2.0,False,
102.40.2.9E.5.56.28.4N | Pulau Susu Dara Besar,"5.0,56.0,28.4,N | 102.0,40.0,2.9,E",Malaysia / Terengganu / Perhentian Islands / Pacific,2003:20-May-03,7.6-Bleaching (% of population),S1=1.0; S2=0.0; S3=1.0; S4=1.0,False,
102.42.508E.5.57.143N | Sea Bell,"5.0,57.0,8.6,N | 102.0,42.0,30.5,E",Malaysia / Terengannu / Perhentian Island / Pacific,2007:29-Sep-07,11.5-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
102.42.508E.5.57.143N | Sea Bell,"5.0,57.0,8.6,N | 102.0,42.0,30.5,E",Malaysia / Terengannu / Perhentian Island / Pacific,2007:29-Sep-07,11.5-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
102.42.508E.5.57.143N | Sea Bell,"5.0,57.0,8.6,N | 102.0,42.0,30.5,E",Malaysia / Terengannu / Perhentian Island / Pacific,2007:30-Sep-07,6.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
102.42.508E.5.57.143N | Sea Bell,"5.0,57.0,8.6,N | 102.0,42.0,30.5,E",Malaysia / Terengannu / Perhentian Island / Pacific,2007:30-Sep-07,6.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
102.42.508E.5.57.143N | Sea Bell,"5.0,57.0,8.6,N | 102.0,42.0,30.5,E",Malaysia / Terengannu / Perhentian Island / Pacific,2008:30-May-08,6.0-Bleaching (% of colony),S1=20.0; S2=20.0; S3=0.0; S4=20.0,False,
102.42.508E.5.57.143N | Sea Bell,"5.0,57.0,8.6,N | 102.0,42.0,30.5,E",Malaysia / Terengannu / Perhentian Island / Pacific,2008:30-May-08,6.0-Bleaching (% of population),S1=2.0; S2=2.0; S3=0.0; S4=2.0,False,
102.42.508E.5.57.143N | Sea Bell,"5.0,57.0,8.6,N | 102.0,42.0,30.5,E",Malaysia / Terengannu / Perhentian Island / Pacific,2008:31-May-08,11.5-Bleaching (% of colony),S1=50.0; S2=0.0; S3=0.0; S4=0.0,False,
